indexNumber,indexName,genusNumber,genusName,X,Y,pointOrder
2,Buccinum_1_11_137_456,11,Buccinum,-0.944380732,-0.040889617,115
2,Buccinum_1_11_137_456,11,Buccinum,-0.943788235,-0.098642955,116
2,Buccinum_1_11_137_456,11,Buccinum,-0.927178894,-0.149761902,117
2,Buccinum_1_11_137_456,11,Buccinum,-0.918577982,-0.204198045,118
2,Buccinum_1_11_137_456,11,Buccinum,-0.901376144,-0.255071577,119
2,Buccinum_1_11_137_456,11,Buccinum,-0.900334842,-0.299990808,120
2,Buccinum_1_11_137_456,11,Buccinum,-0.884174313,-0.322414959,121
2,Buccinum_1_11_137_456,11,Buccinum,-0.860884574,-0.3707668,122
2,Buccinum_1_11_137_456,11,Buccinum,-0.841169725,-0.4205994,123
2,Buccinum_1_11_137_456,11,Buccinum,-0.815352545,-0.467904336,124
2,Buccinum_1_11_137_456,11,Buccinum,-0.780963298,-0.511658598,125
2,Buccinum_1_11_137_456,11,Buccinum,-0.755160548,-0.558969514,126
2,Buccinum_1_11_137_456,11,Buccinum,-0.722727429,-0.603534032,127
2,Buccinum_1_11_137_456,11,Buccinum,-0.69495413,-0.65002872,128
2,Buccinum_1_11_137_456,11,Buccinum,-0.662512713,-0.689551506,129
2,Buccinum_1_11_137_456,11,Buccinum,-0.63114578,-0.729519359,130
2,Buccinum_1_11_137_456,11,Buccinum,-0.619499828,-0.775568972,131
2,Buccinum_1_11_137_456,11,Buccinum,-0.582051134,-0.795815835,132
2,Buccinum_1_11_137_456,11,Buccinum,-0.544602432,-0.833264537,133
2,Buccinum_1_11_137_456,11,Buccinum,-0.501071963,-0.868194088,134
2,Buccinum_1_11_137_456,11,Buccinum,-0.457541493,-0.903123638,135
2,Buccinum_1_11_137_456,11,Buccinum,-0.420092799,-0.94057234,136
2,Buccinum_1_11_137_456,11,Buccinum,-0.399118167,-0.980540193,137
2,Buccinum_1_11_137_456,11,Buccinum,-0.402522931,-1.037128654,138
2,Buccinum_1_11_137_456,11,Buccinum,-0.402522931,-1.095127414,139
2,Buccinum_1_11_137_456,11,Buccinum,-0.376720182,-1.142438322,140
2,Buccinum_1_11_137_456,11,Buccinum,-0.350917432,-1.18974923,141
2,Buccinum_1_11_137_456,11,Buccinum,-0.333715593,-1.240622763,142
2,Buccinum_1_11_137_456,11,Buccinum,-0.303303053,-1.280985931,143
2,Buccinum_1_11_137_456,11,Buccinum,-0.268373502,-1.3245164,144
2,Buccinum_1_11_137_456,11,Buccinum,-0.230504586,-1.356752737,145
2,Buccinum_1_11_137_456,11,Buccinum,-0.204701829,-1.404063653,146
2,Buccinum_1_11_137_456,11,Buccinum,-0.176791853,-1.450501719,147
2,Buccinum_1_11_137_456,11,Buccinum,-0.128223088,-1.473267733,148
2,Buccinum_1_11_137_456,11,Buccinum,-0.101349118,-1.489678895,149
2,Buccinum_1_11_137_456,11,Buccinum,-0.053325685,-1.5,150
3,Buccinum_1_11_137_457,11,Buccinum,-0.127195557,-1.5,1
3,Buccinum_1_11_137_457,11,Buccinum,-0.087187812,-1.468104738,2
3,Buccinum_1_11_137_457,11,Buccinum,-0.028578979,-1.441945883,3
3,Buccinum_1_11_137_457,11,Buccinum,0.035389085,-1.44970254,4
3,Buccinum_1_11_137_457,11,Buccinum,0.100111472,-1.440124769,5
3,Buccinum_1_11_137_457,11,Buccinum,0.164456705,-1.463907533,6
3,Buccinum_1_11_137_457,11,Buccinum,0.226425839,-1.454653344,7
3,Buccinum_1_11_137_457,11,Buccinum,0.277017811,-1.425365061,8
3,Buccinum_1_11_137_457,11,Buccinum,0.317914137,-1.411840006,9
3,Buccinum_1_11_137_457,11,Buccinum,0.376522963,-1.400149021,10
3,Buccinum_1_11_137_457,11,Buccinum,0.430379606,-1.372880734,11
3,Buccinum_1_11_137_457,11,Buccinum,0.484804676,-1.34424013,12
3,Buccinum_1_11_137_457,11,Buccinum,0.521867896,-1.28901117,13
3,Buccinum_1_11_137_457,11,Buccinum,0.553122088,-1.285339457,14
3,Buccinum_1_11_137_457,11,Buccinum,0.573080519,-1.255002701,15
3,Buccinum_1_11_137_457,11,Buccinum,0.607065078,-1.236263966,16
3,Buccinum_1_11_137_457,11,Buccinum,0.639944543,-1.187159513,17
3,Buccinum_1_11_137_457,11,Buccinum,0.662961283,-1.153637992,18
3,Buccinum_1_11_137_457,11,Buccinum,0.684365437,-1.119024485,19
3,Buccinum_1_11_137_457,11,Buccinum,0.714606411,-1.076527851,20
3,Buccinum_1_11_137_457,11,Buccinum,0.745156508,-1.038658176,21
3,Buccinum_1_11_137_457,11,Buccinum,0.765178694,-0.990315279,22
3,Buccinum_1_11_137_457,11,Buccinum,0.810994751,-0.962952942,23
3,Buccinum_1_11_137_457,11,Buccinum,0.834555786,-0.936602614,24
3,Buccinum_1_11_137_457,11,Buccinum,0.806445696,-0.939533428,25
3,Buccinum_1_11_137_457,11,Buccinum,0.850595634,-0.889940502,26
3,Buccinum_1_11_137_457,11,Buccinum,0.874813984,-0.85007266,27
3,Buccinum_1_11_137_457,11,Buccinum,0.873041798,-0.783699905,28
3,Buccinum_1_11_137_457,11,Buccinum,0.893132615,-0.768029632,29
3,Buccinum_1_11_137_457,11,Buccinum,0.913479037,-0.751375157,30
3,Buccinum_1_11_137_457,11,Buccinum,0.919570807,-0.698485662,31
3,Buccinum_1_11_137_457,11,Buccinum,0.922858195,-0.636533589,32
3,Buccinum_1_11_137_457,11,Buccinum,0.936152369,-0.574564455,33
3,Buccinum_1_11_137_457,11,Buccinum,0.915899172,-0.514971412,34
3,Buccinum_1_11_137_457,11,Buccinum,0.914077789,-0.448250095,35
3,Buccinum_1_11_137_457,11,Buccinum,0.921623532,-0.402505943,36
3,Buccinum_1_11_137_457,11,Buccinum,0.927428563,-0.337434701,37
3,Buccinum_1_11_137_457,11,Buccinum,0.929590835,-0.269063302,38
3,Buccinum_1_11_137_457,11,Buccinum,0.943653544,-0.218708165,39
3,Buccinum_1_11_137_457,11,Buccinum,0.927428563,-0.151232402,40
3,Buccinum_1_11_137_457,11,Buccinum,0.935541054,-0.091869137,41
3,Buccinum_1_11_137_457,11,Buccinum,0.919316064,-0.105518305,42
3,Buccinum_1_11_137_457,11,Buccinum,0.884306325,-0.050423472,43
3,Buccinum_1_11_137_457,11,Buccinum,0.870641112,-0.016457976,44
3,Buccinum_1_11_137_457,11,Buccinum,0.847596735,0.048193107,45
3,Buccinum_1_11_137_457,11,Buccinum,0.82045367,0.099673652,46
3,Buccinum_1_11_137_457,11,Buccinum,0.773291193,0.138109697,47
3,Buccinum_1_11_137_457,11,Buccinum,0.740841214,0.194112661,48
3,Buccinum_1_11_137_457,11,Buccinum,0.700838098,0.249612894,49
3,Buccinum_1_11_137_457,11,Buccinum,0.667958634,0.252168688,50
3,Buccinum_1_11_137_457,11,Buccinum,0.640815561,0.303649233,51
3,Buccinum_1_11_137_457,11,Buccinum,0.586958926,0.306096081,52
3,Buccinum_1_11_137_457,11,Buccinum,0.533749862,0.315575989,53
3,Buccinum_1_11_137_457,11,Buccinum,0.490718438,0.356396444,54
